"Taxonomy","Domain","Phylum","Class","Order","Family","Genus","Habitat","Freq","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Bacteria; Pseudomonadota; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; RPQJ01","Bacteria","Pseudomonadota","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","RPQJ01","freshwater sediment",100,0.767414773090559,0.00153340876165901,0.737321886530188,0.806209221149395,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Thermoleophilia; UBA2241; UBA2241; CAIXSE01","Bacteria","Actinomycetota","Thermoleophilia","UBA2241","UBA2241","CAIXSE01","freshwater sediment",100,0.753360145970316,0.00219950226507315,0.689813642011008,0.801787885434528,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; VadinHA17; LD21","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","VadinHA17","LD21","freshwater sediment",100,0.735369371702871,0.00242948305201416,0.671158348631817,0.782217432875808,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Fen-336; Fen-336; DATJYX01","Bacteria","Acidobacteriota","Vicinamibacteria","Fen-336","Fen-336","DATJYX01","freshwater sediment",100,0.73494770064205,0.00151559211897181,0.701050144767679,0.776486869195178,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Halobacteriota; Methanomicrobia; Methanomicrobiales; Methanospirillaceae; Methanoregula","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanospirillaceae","Methanoregula","freshwater sediment",100,0.728730259752738,0.00215803429734195,0.666067484569818,0.777237152860227,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoproteota; Bathyarchaeia; Bathyarchaeales; Bathycorpusculaceae; Bathycorpusculum","Archaea","Thermoproteota","Bathyarchaeia","Bathyarchaeales","Bathycorpusculaceae","Bathycorpusculum","freshwater sediment",100,0.720135572225206,0.00216763066002367,0.646999064334368,0.752810842835946,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Pseudomonadota; Alphaproteobacteria; Rhizobiales; Aestuariivirgaceae; Aestuariivirga","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Aestuariivirgaceae","Aestuariivirga","freshwater sediment",100,0.714420600725342,0.00151539627460315,0.674933403465368,0.7487541441365,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota; Desulfobacteria; Desulfobacterales; UBA2174_A; SpSt-501","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","UBA2174_A","SpSt-501","freshwater sediment",100,0.705611205099433,0.00188581547619334,0.643022374350792,0.74319620311885,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Limnocylindria; Limnocylindrales; CSP1-4; CAIXZV01","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","CAIXZV01","freshwater sediment",100,0.703281244330219,0.00168949475167777,0.651887150124985,0.750338101809873,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; JAKQTR01; JAKQTR01","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","JAKQTR01","JAKQTR01","freshwater sediment",100,0.700978279418215,0.00209254246480001,0.626183090763312,0.740780794388686,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Limnocylindria; Limnocylindrales; CSP1-4; CTSoil-043","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","CTSoil-043","freshwater sediment",100,0.700125571685739,0.0032672911691146,0.614589021437876,0.778264644646933,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
