"Taxonomy","Habitat","PercRunsInd","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Archaea; AGJL01; Methanococci; Methanococcales; Methanococcaceae; Methanofervidicoccus","hydrothermal vent",100,0.589642513874617,0.00209224636384543,0.551361950083609,0.641866123081922,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Asgardarchaeota; Heimdallarchaeia; Hodarchaeales; Hodarchaeaceae; Hodarchaeum","marine sediment",100,0.566533222009693,0.00281993902432716,0.500558118477004,0.618741562766982,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Asgardarchaeota; Lokiarchaeia; Sigyniarchaeales; SOKP01; Loki-b32","marine sediment",100,0.587674323112747,0.00279791669348526,0.502082090042913,0.638718515455255,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Asgardarchaeota; Lokiarchaeia; Sigyniarchaeales; SOKP01; SOKP01","marine sediment",100,0.627598131838351,0.00271595282144772,0.5725420651828,0.673984221107716,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Asgardarchaeota; Thorarchaeia; Thorarchaeales; Thorarchaeaceae; SMTZ1-45","marine sediment",100,0.606807123260568,0.00324411295621813,0.513243448740801,0.677309888266087,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Halobacteriota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus_B","hydrothermal vent",100,0.51211042188754,0.00311254062290993,0.446920176700271,0.569209978830308,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Halobacteriota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; WAKM01","hydrothermal vent",100,0.60521513132324,0.00215129038520266,0.565685424949238,0.641872261435248,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Halobacteriota; Methanomicrobia; Methanomicrobiales; Methanospirillaceae; Methanoregula","freshwater sediment",100,0.725822957080178,0.00270982635930693,0.638058479519528,0.78113573517542,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Halobacteriota; Methanosarcinia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","freshwater sediment",100,0.502534938346203,0.00628652904806375,0.318480317225514,0.608663318556691,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Iainarchaeota; Iainarchaeia; JAADDC01; JAADDC01; SZUA-1452","hydrothermal vent",100,0.513712496462439,0.00287365804847396,0.45135637227806,0.554977477020464,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoplasmatota; Poseidoniia; MGIII; CG-Epi1; CG-Epi1","marine water",100,0.568368721284197,0.00319326859815786,0.495526401592104,0.647428347882867,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoplasmatota; Poseidoniia; Poseidoniales; Poseidoniaceae; MGIIa-K1","marine water",100,0.692170515004844,0.00267887198718042,0.617744327121889,0.752147436309372,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoplasmatota; Poseidoniia; Poseidoniales; Poseidoniaceae; MGIIa-L1","marine water",100,0.765376100021197,0.00220436120453005,0.706845030158278,0.810830597255837,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
